Kolumna,Unikalne wartości,Brakujące wartości,Proporcja klas
nation_position,28,18480,"nation_position
SUB    0.521739
GK     0.043478
LCB    0.043478
RCB    0.043478
LB     0.035573
RB     0.035573
ST     0.032938
RCM    0.031621
LCM    0.031621
CDM    0.021080
LW     0.019763
RW     0.019763
LM     0.019763
RM     0.019763
CAM    0.013175
RDM    0.011858
LDM    0.011858
RS     0.009223
LS     0.009223
CB     0.007905
LWB    0.003953
RWB    0.003953
CM     0.002635
CF     0.001318
LF     0.001318
RF     0.001318
LAM    0.001318
RAM    0.001318
Name: proportion, dtype: float64"
preferred_foot,2,0,"preferred_foot
Right    0.762722
Left     0.237278
Name: proportion, dtype: float64"
work_rate,9,0,"work_rate
Medium/Medium    0.520557
High/Medium      0.190291
Medium/High      0.097718
High/High        0.057124
Medium/Low       0.042102
High/Low         0.041998
Low/Medium       0.024222
Low/High         0.023650
Low/Low          0.002339
Name: proportion, dtype: float64"
body_type,10,0,"body_type
Normal (170-185)    0.347471
Normal (185+)       0.220178
Lean (170-185)      0.212381
Lean (185+)         0.100733
Normal (170-)       0.034773
Stocky (170-185)    0.029108
Lean (170-)         0.024793
Stocky (185+)       0.018452
Unique              0.007069
Stocky (170-)       0.005042
Name: proportion, dtype: float64"
real_face,2,0,"real_face
No     0.884609
Yes    0.115391
Name: proportion, dtype: float64"
player_tags,71,17798,"player_tags
#Strength                                                 0.342817
#Acrobat                                                  0.163081
#Engine                                                   0.140874
#Speedster                                                0.101319
#Aerial Threat, #Strength                                 0.040250
                                                            ...   
#Strength, #Clinical Finisher, #Complete Forward          0.000694
#Crosser, #FK Specialist                                  0.000694
#Dribbler, #Distance Shooter, #Crosser, #FK Specialist    0.000694
#Speedster, #Engine, #Acrobat                             0.000694
#Aerial Threat, #Clinical Finisher, #Complete Forward     0.000694
Name: proportion, Length: 71, dtype: float64"
player_traits,1051,9841,"player_traits
Speed Dribbler (AI)                                                     0.075654
Injury Prone                                                            0.047776
Technical Dribbler (AI)                                                 0.046393
Dives Into Tackles (AI)                                                 0.038732
Power Header                                                            0.038412
                                                                          ...   
Long Throw-in, Dives Into Tackles (AI), Leadership, Early Crosser       0.000106
Injury Prone, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI)    0.000106
Solid Player, Dives Into Tackles (AI), Team Player                      0.000106
Power Free-Kick, Long Shot Taker (AI), Chip Shot (AI)                   0.000106
Flair, Team Player, Chip Shot (AI)                                      0.000106
Name: proportion, Length: 1051, dtype: float64"
ls,228,0,"ls
60+2    0.038100
61+2    0.036904
57+2    0.035709
58+2    0.035657
59+2    0.035293
          ...   
54      0.000052
52      0.000052
50+1    0.000052
53-2    0.000052
49      0.000052
Name: proportion, Length: 228, dtype: float64"
st,228,0,"st
60+2    0.038100
61+2    0.036904
57+2    0.035709
58+2    0.035657
59+2    0.035293
          ...   
54      0.000052
52      0.000052
50+1    0.000052
53-2    0.000052
49      0.000052
Name: proportion, Length: 228, dtype: float64"
rs,228,0,"rs
60+2    0.038100
61+2    0.036904
57+2    0.035709
58+2    0.035657
59+2    0.035293
          ...   
54      0.000052
52      0.000052
50+1    0.000052
53-2    0.000052
49      0.000052
Name: proportion, Length: 228, dtype: float64"
